,node,cluster,location,description,followers,name,created_at,likes,statuses_count
912,garetho75951588,0,Sheffield  England,sheff wed fan...and overall sports fanatic..,50,gareth owen,17-Dec-2017 (08:45:15.000000),4527,3773
913,ladyyy510,1,Long Beach  CA,♈️☀️/STELLIUM🔥 • 💙💍,899,Spooky Lady👻🎃🕸,02-Jun-2015 (05:38:01.000000),58589,61746
914,txcremations,0,Lewisville  TX and Dallas  TX,None,389,Martin Oaks,19-Sep-2015 (18:23:12.000000),3,9501
915,muhammadateeqk1,0,Fremont  CA,Friendly,23,muhammad ateeq khan,10-Sep-2019 (03:33:19.000000),38,226
916,BillDeGrandpre,0,None,None,70,Bill DeGrandpre,23-Apr-2015 (22:44:03.000000),1115,1387
917,jlints58,0,San Francisco  CA,May live to find yes again. Poet 48 years  Poor #tenderloinresident . Published in over 40 anthologies. Beat up by the judgement No. 🚩🚫No DM's/Group tags🚫🚩,8178,Jerry Lints,09-Dec-2015 (00:23:56.000000),297261,246187
918,witlord,0,Detroit  MI,Speaking of a blithering idiot.,665,Soham Bakshi 👽🤖⚡️,10-Apr-2009 (07:39:06.000000),13867,23295
919,TRlVIASOOBIN,1,bisexual • blm • acab,#수빈: let’s spend the night doing some virtual aerobics !! (17  she/they),972,jordan⁷✜ LIFE GOES ON,09-Oct-2017 (14:22:52.000000),73512,41258
920,ChiefGSage,0,None,Official channel of Halton Region Paramedic Services. Not monitored 24/7. For emergencies call 911.”,1697,Greg Sage,24-Jun-2014 (17:30:39.000000),3963,2707
921,nspector4,0,Victoria  BC,🇨🇦Ex-Sect'y to Cabinet FedProv/PMO ChiefofStaff/DM2BC Premier/Amb/Publisher/Columnist/PhD academic reads tween the lines/lies of pols/journos in English/French,26513,Norman Spector,31-Dec-2010 (11:20:46.000000),2641,271030
922,RetiredRevsMrs,0,Skelton in Cleveland ,On an adventure with the retired Rector  seeking God’s loving presence in our lives,434,Sue Milton,23-Jun-2011 (20:01:24.000000),10229,7241
923,Serenity_Seas,0,United States,"Conservative insurgent- Proud Trump supporterYour rights end where mine begin We Are Free - #UnMaskME""""",5346,VOTE Trump2020 MysTeri,04-Jun-2016 (11:45:55.000000),70521,41514
924,JustBella,0,SLC  NYC  𝐸𝓋𝑒𝓇𝓎𝓌𝒽𝑒𝓇𝑒,ᴳʳᵃᵗᵉᶠᵘˡ  Nonconformist  𝘞𝘢𝘯𝘥𝘦𝘳𝘭𝘶𝘴𝘵  𝕀𝕥𝕒𝕝𝕚𝕒𝕟  Old Soul  #Animals #Ally 🌈 #Photography #Travel Proudly followed by @BarackObama ❤️ #Resistance,21486,Bella Russo 🇮🇹,13-Feb-2009 (09:18:53.000000),128842,29164
925,TheeTrueFan,1,STRIPPING AT THE PYRAMID,Fighting evil by moon light | Orlando  Florida IG|unbotheredking89,2796,THE FAIRY KING 🤴🏾😼🧚🏾‍♂️,04-Jul-2011 (03:23:09.000000),10020,38973
926,RhondaJFlanagan,0,Portland  ME,“dreams writes bleeds across the page photographing the rest”—communications manager fine artist graphic designer writing photography.,798,Rhonda,28-Apr-2011 (21:51:37.000000),7791,71412
927,MrFly187,0,United States  Brooklyn NY,My Batfamily @= I’m 3T-1 #DemVoice1 #SaveAmericaVoteBlue,4652,David Miles Knight,27-May-2014 (17:26:23.000000),193289,187241
928,winewatcher,0,San Francisco,#Progressive #Jewish #Lesbian #Feminist | #LGBT | #Boomer | #Cats | #Theater | #Health #Advocacy | #DisabilityRights | #BlackLivesMatter | #Politics | #Resist,2242,(((Alexandra Alznauer))),13-Oct-2009 (14:00:30.000000),17592,17294
929,justwaiton__it,1,Pittsburgh  PA,✨11✨1111✨711✨911✨222✨444✨211✨1017✨,186,two strand twist.,29-May-2015 (12:32:38.000000),17178,13648
930,PPotanas,0,New Hampshire  USA,Prison Warden (retired); Opiniated Conservative  2nd Amendment guy  dog guy  hopelessly working-middle class jazz fan.,508,Boomer Rube NH Mark,23-Jan-2018 (22:08:46.000000),93795,25054
931,FurfieThomson,0,None,Left-wing  Feminist Snowflake. Wife  daughter  sister. #BLM. Lover of ACNH  Pokemon and chocolate. &the EU. Views my own. Retweets do not equal endorsements.,272,Furfie Thomson,26-Dec-2019 (12:48:34.000000),10184,1546
932,Narniaexpert,0,Shanghai,Theme park engineer & world traveler. Follow my adventures through worlds of Narnia  entertainment  & beyond. Opinions are my own and do not represent Disney.,1002,David 安大卫,14-Feb-2009 (00:29:16.000000),126,14115
933,FixItMrPres,0,None,I want Real answers,10,Bethenny,05-Jan-2017 (17:35:42.000000),10,895
934,DonaldNorcross,1,None,Congressman  NJ-01 • Electrician • Born & Raised in South Jersey • Husband  Dad  Granddad • @EdLaborCmte Member • @HASCDemocrats TAL Chair,11121,Donald Norcross,27-Mar-2015 (20:08:34.000000),2867,8610
935,antinoo2,1,Capri,Former boytoy.Current god.,394,Brusus Maximus,28-Mar-2013 (21:12:33.000000),50219,21657
936,dfhammill,0,California  USA,Lifelong Saints fan. #LSU #ULL WhoDatNation,2699,#LovetheSaints ⚜️⚜️⚜️⚜️,13-Mar-2012 (19:59:55.000000),142342,81460
937,BMinuteman,0,Billerica  Mass.,The Billerica Minuteman is the best source for all news in and around Billerica  Massachusetts.,2828,Billerica Minuteman,01-Mar-2012 (15:35:55.000000),1739,7947
938,breathehappyltd,0,None,The breathe happy #reusablefacemask has a ≥95% or ≥98% BFE and PFE so that you can really #BreatheHappy,101,breathehappy,14-May-2020 (08:49:00.000000),90,370
939,RevdDW,0,None,parish priest (CofE)  husband  stepdad and grandpa  physicist  fell-walker  bookworm  music-lover  lapsed violinist,366,David Wells,26-Oct-2011 (12:37:48.000000),1947,1880
940,dianalimongi,0,New York  NY,Activist | host 🎙 @ParentingandPol | Latina | Raising #BilingualKids |#PaidLeave Advocate | freelance writer | Blogger,3944,Diana #vote2020,28-Apr-2010 (01:41:30.000000),15632,59545
941,jthcivic,0,Los Angeles County,Chair Emeritus Quality and Productivity Commission (Retired 3/7/18)  Voting System Assessment Project Charter Committee Member,546,Jaclyn Tilley Hill,13-Jul-2009 (22:15:24.000000),1989,2867
942,PharmacyHour,0,UK,Every Monday evening between 7.00pm and 8.00pm use #PharmacyHour to promote any pharmacy related business  service  product or event.,5090,Pharmacy Hour,11-Apr-2013 (12:06:18.000000),10895,24499
943,karimhamdy4444,0,USA + TUNISIA,Int’l Development/Project/Environment/Water Consultant. Translator (AR-EN-FR). Boosting Capacity of Civil Society,159,KARIM HAMDY,15-Jun-2009 (19:19:16.000000),1506,30343
944,don_velour,0,New York  USA,Pigeon.I took the oath.,449,Lucas D. Velour,31-May-2019 (13:27:41.000000),10102,20891
945,FKEU8,0,Yorkshire,Just get us out. Love Europe but not the EU as our real friends are all in the Anglosphere. FBPE accounts blocked on sight.,609,Anti EU - #BritishIndependence,27-Jan-2019 (13:45:25.000000),25729,7007
946,HelloitsKaren,1,None,"Not a Karen"".  I always follow back. #MAGA #KAG 🇺🇸 I RT what amuses me or strikes a chord.  RT doesn't equal endorsement.Parler = @HelloItsKaren""",4372,K 🌟🌟🌟,08-Mar-2009 (03:31:08.000000),10772,13994
947,JPopStrikesBack,1,Pennsylvania  USA,Twitter has suspended my main account:  @J_PopCultureFan.  🤭  This is my backup.  #BB23 - #TheCircle - #TWD - #StarWars - #AHS - 🔸#JHive🔸- #Biden2020 - #BLM,4173,𝙹𝚘𝚑𝚗,01-Aug-2019 (14:02:25.000000),102074,18700
948,loisquick,1,Napa  CA,BUDGETS ARE MORAL DOCUMENTS. Native American. Education all my life  retired from UCB. Democrat. http://Napabookmine.com local indie,292,Lois Quick,13-Dec-2010 (00:16:19.000000),80748,98468
949,QMajori,1,Glam--ma| Jer.29:11 Ps.23  ,🇺🇸Sis-less  dedicated Constitutionalist 🗽💗what Trump is doing 4 USA🇺🇸!#KAG #MAGA WWG1WGA! CUE 💗 Fam & traveling! Petite  small accts matter!,1274,WeRtheVastMajority🇺🇸. 🇬🇧🌍 ✈️ 💗 6%,28-Jun-2020 (15:48:12.000000),11585,10699
950,Linda_Corbett20,0,None,Skivvy to 4 spoilt guinea pigs. Obsession with buying notebooks. Member of RNA New Writers’ Scheme. Recipient of Katie Fforde Bursary 2020.,76,Linda Corbett,28-Jun-2020 (08:41:40.000000),488,239
951,The_Arcane_Boi,1,Fort Myers  FL,23 - Gay 🌈 IG: _zaulr_ BLACK LIVES MATTER,692,Zaulr,09-Feb-2019 (02:30:44.000000),24836,13555
952,NorCalUnitedWay,0,Redding  CA,We go after our community’s toughest challenges  develop solutions and work with people from all walks of life to turn those solutions into action. #LIVEUNITED,1159,NorCal United Way,04-Jan-2011 (22:07:45.000000),1783,2006
953,imaigen,1,الــصـلــيــبيــا,‏‏🥀انت الله يحفظك وانــــاالله يصبر نـــي،🥀,65181,𝓐𝓲𝓰𝓮𝓷ـــــــ,16-Mar-2015 (14:03:28.000000),19477,326255
954,LndOntRetweets,0,London  Ontario,Retweeting #LndOnt & #LdnOnt tweets  follow today and see what's happening in the London Ontario community.,4337,LndOntRetweets,19-Sep-2015 (17:55:27.000000),178,539557
955,FutureDeZigns,0,California USA,Artist♡Poster♡Cartoonist♡EnvironmentalDesigner http://instagram.com/ghazwa.salem/ futuredezigns-181@plusgoogle  http://facebook.com/FutureDeZigns1,79,Ghazwa Salem,06-Sep-2010 (18:47:36.000000),1048,1439
956,Judyoklahoma,0,canadian  tx,I was a travel agent for 17 years. I love all genres of music. Wayne Newton and Carrie Underwood and Garth Brooks and Trisha Yearwood are just a few of our favs,100,judyknight,23-Apr-2009 (15:13:03.000000),7709,7632
957,DarcyDarce,0,San Diego Area,Proud Democrat  Director of IT  Woman Who Codes  Data Scientist  Yogi  SCUBA  SUP  Cooking  Wine and Vegetable Gardening...,752,Trump MUST GO!,13-Jul-2010 (20:55:30.000000),61234,24940
958,NVCF,0,Chico  CA,We administer the Camp Fire Relief Fund  helping those displaced by the fire in Butte County. We have more than 600 unique funds granting millions a year.,1502,NVCF,21-Mar-2009 (18:06:16.000000),1210,2741
959,DamonMBanks,0,Washington  DC & Virginia,Living life one word at a time as a writer  editor  copywriter  copyeditor and author...Spending my nights and weekends writing & editing fiction projects! 📚,14433,Damon M. Banks,21-Jul-2011 (19:21:45.000000),35839,38743
960,DefencePRO_Guj,1,Ahmedabad City  India,Wing Commander Puneet Chadha Public Relations Officer  Gandhinagar  Min of Defence,8709,PRO Defence Gandhinagar,08-Jan-2018 (06:17:42.000000),8477,10020
961,MZarogoza,0,United States,God Bless Vets Troops Policemens Worldwide USA President @Trump @christinamilian @brucelee @marismith@bestaffleck @clinteastwood @realhughjackman @jetli_com,525,Michael Zaragoza,22-Aug-2019 (20:53:25.000000),2149,5429
962,daddybuell,1,None,Leader of the Delinquents,2763,SB-129,30-Jun-2012 (21:35:57.000000),225503,146936
963,SueGrah456,0,Bath  England,Immunisation nurse. Animal lover. Tennis addict....love Andy Murray. Big Endeavour fan.Hate injustice  prejudice and narrow-minded people.,111,Sue Graham,06-Apr-2020 (12:55:52.000000),13115,1613
964,OneOahu,1,O‘ahu,Protect: Yourself. Each Other. Hawai‘i.,68,One Oahu,14-Jul-2020 (20:16:11.000000),81,226
965,emsayle,0,London  England,Founder & CEO @killing_kittens  co-founder @yoursafedate @hiitagainsthit @sistrapp @thesisterhooduk Mother of 3 & @jimmyt20 way worse half.,7000,emma sayle,25-Mar-2009 (10:02:17.000000),2458,9401
966,Frankyyyyy_,1,None,(he/she/ze) x RNB x ARI,670,Mr. Fierce,31-May-2013 (19:04:54.000000),192058,156554
967,AMothersFineArt,0,Livonia  MI,Artist🎨 Mom~Mental Health Awareness~I Stand for my Flag 🇺🇸 & Kneel for my Lord 🙏 Deplorable & Unessential 🇺🇸,7652,Jilian Cramb 🇺🇸🎨,01-Nov-2015 (12:11:05.000000),35611,49577
968,49ernavybrat,0,U. S. A. ,Mom.Navybrat.Proud daughter & sister of a #Veteran family. No time for more Assholes #FollowTheBlueWave resist #voteblue #unite #BidenHarris,3261,#VoteBlue2020 🌊 It’s😎2WearA😷 USA🇺🇸❤️🤍💙🇺🇸,11-Mar-2009 (23:07:08.000000),9425,3804
969,BombshellDAILY,0,Please DONATE  if you're able ,#RESISTANCE HEADLINES: Journalist🔸Integrity🔸Service🔸Links🔸Tolerance🔸Community🔸Activism🔸Gratitude🔸#FBR,67884,Bombshell DAILY 💣,29-Sep-2018 (09:58:16.000000),48293,16262
970,ingeallbeauty,1,Los Angeles  CA,Photographer/Actress 🎬✨ Photography ❤️ Film Art Music Makeup Style Fashion Flowers Nature Beauty Health Fitness Fun 🥰 SAGAFTRA🌎🇺🇸 #MakeCaliforniaGreatAgain,11013,inge,04-Mar-2014 (02:42:45.000000),45107,34531
971,slimbad92,0,West Midlands  England,WWG1WGA!! Patriotic  Democratic Believes His Home Is His Castle  1 Country 1 Law Democracy Rules NOT Dictatorship Try the Brave Browser,4525,slimbad92-OCS-WWG1WGA!!!,10-Jan-2013 (20:04:50.000000),87862,113708
972,_Bawwse,0,United States,Feminist AF. Wanderer. Escapist.,60,Autumn - #IVoted 🇺🇸,23-Jan-2016 (06:14:58.000000),978,2152
973,DazzSands,0,Cincinnati Ohio.,I'm a big black cat in an urban jungle...#Progressive #Humanist #DegenerateGambler #TheResistance #Indivisible #BlueOasis,5100,Daniel Sands,08-Jul-2012 (21:02:28.000000),34851,94647
974,rhana_73,0,None,UK patriot  truth seeker  WWG1WGA.Lost all my followers as had to start my twitter account again  F.U twitter!,1977,@rhana_wwg1wga,18-May-2020 (14:56:43.000000),10738,4175
975,TittyTw64913703,0,Wo Sie mich haben wollen,Ich  im Ausnahmezustand. Eigentlich immer ▪ inflationär in die TL gerotzte Gedanken  keine Qualitätstweets. Aber wenigstens darauf können Sie sich verlassen.,286,Frau Katinka,08-Jun-2020 (10:52:57.000000),17869,7837
976,spookydoobies,1,nj,kill a cop save a life (she/they),147,des ✭ 222,07-Dec-2018 (00:57:53.000000),71166,12791
977,WillxMartinez,1,Orlando  FL,I like art  and by art I mean music  poetry  sex  paintings  traveling... All of it’s art.,3601,William Giovany,16-Jan-2013 (06:39:40.000000),728,60496
978,RikDescheemaeke,0,None,None,94,Rik Descheemaeker,14-Apr-2012 (16:08:40.000000),17973,9590
979,ThinkinPatriot,0,None,Critical thinker. Dynamic mind. Realist. Objective. Creative. Sarcastic. Techie. Audiophile. Animal lover. Race: Human.  #MAGA #KAG,17715,Thinking Patriot,17-Jun-2017 (23:16:04.000000),25663,6024
980,ralpshtone,1,clearwater,🤩,123,ralph stone,07-Oct-2011 (23:39:15.000000),4118,34280
981,katannaskin,1,None,drag queen // 🇨🇦 // #blacklivesmatter,9,kat,28-May-2020 (15:59:10.000000),784,237
982,LeeCapobianco1,1,Florida  USA,Mom  Grandma and Great-Grandma. Christian who loves God  family and this great Country. Trump2020 MAGA KAG. No DM’S,10746,Lee Capobianco,22-Sep-2017 (16:00:07.000000),106246,272972
983,jonle01,0,Europe,Maltese/English  ex-Army  now living in Malta 🇲🇹,345,Jon,22-Sep-2016 (11:21:36.000000),1321,8257
984,jonle86,0,Malta,ex-Army; Space/Science♢ Exopolitics ♢ News ♢ Ancient History/civilizations ♢ Geopolitics ♢ #FreeThinker,2589,Jon 🌍,21-Sep-2014 (09:48:33.000000),5238,53508
985,GIFFCloud,0,None,Get it for #FREE. Tools and services to make your chances of success greater 💪,106,Hugo,13-May-2020 (19:31:23.000000),162,393
986,AbercornSecSch,1,None,None,1205,Abercorn Secondary,22-Sep-2015 (19:37:38.000000),2290,4127
987,GaianLight,0,Gaia 🌍🛐🏡🏰🌳🌻,Exploring life and the Earth.,1391,Gaian Light 🌍🛐🏡🏰🌳🌻,17-Feb-2012 (08:55:52.000000),3058,14796
988,Cocoadiva_KRH,0,Germany,Photographer at Large,140,Crazy Artist Lady,14-Oct-2009 (22:15:58.000000),9510,5201
989,Pugamall,0,Slough UK,Petrol head  Gadget fiend   Omnivore  Workshop controller CUK Racer  Cryptocurrency enthusiast  and general all round good bloke,593,Chris Binfield,04-Mar-2009 (13:25:59.000000),5590,6816
990,Helluva87007714,0,None,Helluva Label - Höllisch gute Streetwear. Markant  ehrlich & kompromisslos.,8,Helluva,29-Oct-2020 (20:47:39.000000),3,225
991,rgething,0,None,Proud Patriot. Trying to keep a sense of humor.,2816,RhoQSue,06-Apr-2009 (20:52:08.000000),44699,30404
992,EvaMoNique5,0,None,Aquarius👑|Extrovert🔥|God's Daughter🙇‍♀️|I'm a BBW👸|Living my life like its Golden✨|Orlando Pirates🖤|Future Rich Aunt❣️😉,1494,#TakeUpSpace #RainQueen👑🙏👑,08-Dec-2019 (14:32:58.000000),40281,24489
993,lowery_wendi,0,Duncan  BC.  Canada,🇨🇦Liberal❤️PM Trudeau! ♌️☯️☮️🙏 🖤BLM🌈Support USA!💙BIDEN-HARRIS🌊VOTE BLUE!!! NO DM’s!!!HERE TO #RESIST  RETWEET  FBR💙BE KIND  CALM  SAFE. WEAR A MASK,2628,Wendi 56,05-Jun-2020 (23:51:14.000000),4006,8412
994,RhemjohnDave,0,None,None,34,Rhemjohn Dave,13-Jan-2016 (14:45:29.000000),241,95
995,highhopesUSA,0,None,None,3199,PatWilliams,27-Mar-2018 (21:07:52.000000),250102,43080
996,doctorkevinmoo1,0,Lancashire  UK,Founding CEO  National Football Museum. World’s leading expert  sports museums/heritage.Football/sports historian  lecturer  consultant  author  academic.,1178,Dr Kevin Moore,03-Nov-2019 (17:58:18.000000),9299,4338
997,daveelias,0,Fort Myers  FL,NBC 2 NEWS Chief Political Correspondent Fort Myers  FL,565,Dave Elias,09-Jul-2009 (18:38:35.000000),265,279
998,Scottishnotbrit,0,Scotland,Science editor. Writer  #FREEASSANGE. Anti warmonger/govs’ propaganda/lies  cabal  MSM/sheeple. ❤️🇷🇺 🏴󠁧󠁢󠁳󠁣󠁴󠁿pro 🇮🇶🇷🇸🇵🇸 Iran  Yemen & Syria. #KBF,2332,Indy Mcбот,24-Apr-2013 (20:41:19.000000),130659,94427
999,maskcapecod,0,Massachusetts  USA,Advocating for face masks to protect ourselves and others and help prevent the spread of #covid19 on #capecod -- we're on Instagram  too. @maskcapecod,7,MaskCapeCod,07-Jul-2020 (21:09:27.000000),13,1057
1000,suechadwick999,0,None,None,216,Sue Chadwick,27-Mar-2016 (13:46:22.000000),22551,23301
1001,Mary12995565,0,Worthing  England,Truth seeker from the UK,80,Mary Child,08-Nov-2019 (17:05:16.000000),7299,5646
1002,NygardMarina,0,Finland,Creativity  colors and light are my kind of tea 😉,7,Nygård-Mattsson Marina,28-Oct-2020 (19:12:06.000000),1,260
1003,Inspiredbydavie,0,None,Thank you for being here ✨ | graphic design | digital lettering artist | Instagram @ inspiredbydavina | Check out my shop below ⇊,99,Inspiredbydavie REDBUBBLE 🌐,17-Sep-2020 (10:02:34.000000),171,754
1004,thenewfenrir,1,Ciudad Autónoma de Buenos Aire,why wolf MD. Soy como una cobija de tigre  fea pero bi-en caliente. Bad bunny & Louis Hofmann stan account.,3502,Diego Hofmann,16-Oct-2009 (19:00:53.000000),46630,99207
1005,Divacool7,1,None,None,8,Divacool,28-Sep-2020 (10:36:19.000000),128,34
1006,BabykitkatSmith,0,None,None,152,Karen Smith,05-Nov-2014 (18:51:14.000000),6980,1010
1007,MediaActive,0,Melbourne,Former ABC broadcast journalist. Pioneered Australian *national* radio talkback. Podcaster @transitzonepod JOURNALISM FUTURES/INTERVIEWING/WILDLIFE PHOTOGRAPHY.,2920,Peter Clarke,17-Apr-2009 (07:32:00.000000),1355,50584
1008,ccylevin,0,St Louis  MO,she/her Writer of Anti-Poverty Mom Blog. Aspiring author. RESULTS Shot@Life  Bread4theWorld&CARE advocate.Wants to be chaotic neutral but is really lawful good.,1348,Cindy Changyit Levin,29-Oct-2009 (03:59:08.000000),17627,27074
1009,FatHead156,0,In a dystopian world.,Nationalist. Statism is a religion #SayNoToTheAbnormalNewNormal #wakeup,1166,Mr Fat Head.,05-Dec-2010 (20:07:11.000000),9500,43848
1010,glitter_2em13,1,None,I love  Art   Quote  Animal  Nature  BFF                     ▪️2nd account @em_76brilliant▪️                        🚫No DM  All credit 🎥 or 📷 are not mine,40075,EMMA,07-Mar-2017 (23:53:52.000000),330668,370922
1011,RobertoVigna,0,Turin  Italy,20 • TV Time: RobertoVigna • 2nd account • @KimPetras follows me • @NikkieTutorials + actors from AHS  The 100  TVD  Westworld  Siren  Good Trouble noticed me💕,318,Roberto Vigna Cit,24-Sep-2018 (13:03:39.000000),159804,15751
1012,jamesgodsey7,0,None,None,16,james godsey,07-Apr-2020 (19:57:27.000000),351,1551
1013,GESANDA,0,None,Señor: Tú  que eres el Juez del mundo  ¡levántate contra los altivos y dales su merecido! ¿Hasta cuándo  Señor  se alegrarán los malvados?,4026,Gesanda,08-Jun-2009 (17:46:24.000000),167900,535207
1014,whatsonbristol,0,Bristol  UK,Watch this space for regular updates on events  activities  places to eat and things to do along with information about the city we all love  Bristol!,25059,Whats on Bristol,29-Sep-2009 (20:19:42.000000),21897,22227
1015,Mimran51418012,0,None,imrany,0,Mimran,10-Oct-2020 (07:04:59.000000),1,5
1016,jacqueline_says,0,Boston  MA,@OliverWyman Health & Life Sciences Editor | Plant-based minimalist | Namaste six feet away,1236,Jacqueline DiChiara,02-Dec-2015 (15:02:57.000000),3200,2243
1017,dailycupofjoe_,0,California  MX,Family  music  sports  and traveling.    🇲🇽🩸 ⚒BA1850⚒,176,Joe,07-Sep-2015 (00:01:56.000000),6044,2479
1018,garyi_carey,0,Wiltshire,All views my own #vegan #wildswimming #walking #hiking #C25K #MHFA,165,Gary Carey,07-Apr-2017 (10:23:19.000000),8519,2994
1019,demipal,0,Boston  MA.,Film Buff  Socially Conscious  Underdog  Self Proclaimed #Geek  Activist  USCG #Veteran  #WomensRights & #MentalHealth Advocate. Radiohead. #Queens Girl 4EVAH!,2981,Demi Palopoli #VoteBlue2020 #RBGForever #VOTEBLUE,14-Mar-2011 (12:12:48.000000),42075,16135
1020,melly_ruiz,0,None,🦁♡👨🏾! • cat mom,455,Melissa ♡,08-Dec-2010 (03:11:49.000000),37058,22375
1021,Tighnacoille,0,None,Les feuilles mortes se ramassent à la pelle. Les souvenirs et les regrets aussi Et le vent du nord les emporte Dans la nuit froide de l'oubli  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,2213,Helen Ross,11-Mar-2013 (06:04:27.000000),439413,616076
1022,FellowHelping,0,None,This account is for helping my fellow Redbubble designers by sharing their work. See each tweet for links to their products.,5,HelpingFellowDesigners,02-Nov-2020 (08:08:30.000000),69,139
1023,Hero_Masks,0,None,Beautifully Handcrafted Face Masks with Nose Guard and Filter Pocket.,80,WarriorPrincess,24-Apr-2020 (04:48:53.000000),1173,448
1024,istackpole,0,Newport  RI,Healthcare consultant|President  Stackpole & Associates  Inc. |Co-host  The Medical Travel Show,1134,Irving Stackpole,02-Jan-2012 (13:55:19.000000),1554,8742
1025,CherylRoarke,0,Salem  MA,Lover of animals science space  music  books  true crime  coffee and the arts.🖤,2236,Cheryl Roarke,24-Jan-2014 (14:43:52.000000),262716,57895
1026,FootballNScrubs,0,None,CA Nurse ED/Mental Health/MedSurg/SNF only made this account for the purpose of Supply’s for the next 18mo. #GetUsN95 678 US Nurses have fallen in 9mo span🙏🏽,72,Alex Torres(SAVE FACTORY WORKERS),03-Apr-2020 (17:15:45.000000),12560,10582
1027,PandemicCovid20,0,None,Global Coronavirus news with a focus on Long Covid (Chronic Symptoms)  Pandemic Mental Health and 10 other key stories per day.  Human curated by Dave Roberts,44486,Coronavirus Long Haul Covid19,06-Jan-2020 (17:09:38.000000),7,24435
1028,FaceMaskPlus_,0,None,PPE Info & Resource!,4,FaceMaskPlus,11-Sep-2020 (17:19:55.000000),2,81
1029,NBC2,0,Southwest Florida,#1 News and weather site in Southwest Florida,88843,NBC2,17-Jan-2008 (20:04:07.000000),2796,105535
1030,ramdarse,0,Tennessee,Making our art available on high-quality Print on Demand merchandise.,14,After 10,19-Aug-2020 (15:38:43.000000),1,260
1031,annewillisart,0,None,I am an Emergency Department nurse who does a bit of art in the side. Mostly watercolours and mixed media with some digital stuff thrown in.,9,annewillisart,31-Oct-2020 (22:20:29.000000),86,204
1032,jkandylis1,1,Athens Gr..,"Happiness means love  nothing else.""Anyone who can love is happy ""😆😘""",906,john kandylis,11-Oct-2014 (07:14:49.000000),69621,19378
1033,ahmedfaz05,0,Karachi  Pakistan,sometimes you win  sometimes you learn,8,Ahmed Fazal,11-Jul-2018 (09:39:51.000000),26,275
1034,BellaSpirito777,0,Connecticut,Mom 1st! #UniversalMinister #BLM #CopsKid #LGBTQ #Empath #Spiritualisthttp://YouTube.co/AfterDarkParanormal,407,Steph~A.D.O.C.Paranormal🇺🇲,02-Mar-2011 (17:42:38.000000),23326,24808
1035,RoyHStAsaph,0,Wales  United Kingdom,Christian  Husband  Dad  Rtrd Road Transport Engineer  (if it ain’t broke don’t fix it) Cath Steward  Welcomer  Coffee Maker Holy Duster & Choir Supporter. AMOV,232,Roy ☘️🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,31-Mar-2018 (10:27:09.000000),42274,18946
1036,pakhair_store,0,None,DP,5,Pakhair,08-Jun-2020 (17:01:00.000000),87,252
1037,genesis_ninoshk,1,Ciudad del Yunque  Puerto Rico,Nube de estrellas,411,genesis,12-May-2013 (02:35:40.000000),11140,37279
1038,Victori52049631,0,Hawaii  USA,Staunch Conservative.TRUMP 2020 MAGA🇺🇸💪 Free Thinker.Love of God  Country  & Family.Supports Military Vets &LEO's.Truck Driver NRA Life Member#GodWins,1360,Victoria Cooper🇺🇸💪,30-Mar-2019 (19:33:53.000000),67508,18846
1039,elstreetphoto,0,None,Passionate photographer of humans and magic everywhere.,10,el.street,24-Sep-2020 (18:40:07.000000),871,487
1040,TureBaldwin,1,Brooklyn  NY/DC,i'm here. to engage. on everything. $DODewon,1014,Dewon Dewon,18-Sep-2020 (16:41:00.000000),7841,8370
1041,_Ashley_Blade,1,Milky Way Galaxy ,Shout. Show. Shove. Shoot.,368,Janie Crawford,09-Dec-2009 (00:35:00.000000),19438,35995
1042,MichaelOgaza,1,Miami  FL,CSI |fearless|♏️| 🇺🇸🇨🇺,591,Michael,25-Sep-2014 (14:42:07.000000),138461,79551
1043,RepBobMorgan,0,Highwood  IL,Official account for Illinois State Representative Bob Morgan  proudly serving the residents of the 58th District,835,Bob Morgan,20-Nov-2018 (02:53:31.000000),1018,652
1044,amazimals,0,New York,Hello  here at Amazimals you will find nature  animal and vintage goods.,3,amazimals,10-Aug-2020 (08:18:25.000000),104,96
1045,kevinwadams,0,None,Assistant Coach @lbsuwbb. More of Christ and less of me. (John 3.30) #BLM,1141,Kevin Adams,27-Mar-2009 (19:38:34.000000),8466,6377
1046,VideosAmerica,0,None,None,92,El Indio Estadista Alberto Canosa,29-Nov-2017 (21:37:25.000000),1189,1743
1047,marousyat,0,None,All views my own.  Democracy and Freedom loving.,84,MarousyaT,30-Oct-2014 (19:47:12.000000),36619,4474
1048,RoxyFerret,1,New England,Elite Dangerous  The Witcher  & RPG fan. Apostrophes NEVER mean plural! Stop doing it!  Quando omni flunkus  moritati. I don't age  I level up. She/Her.,220,Rogue Roxy®,11-Jul-2009 (19:48:07.000000),2083,56781
1049,DaveDolton,0,Washington DC,@DocASAP #patientaccess #HCLDR #patientengagement #motorcycles #baseball #pinksocks @miamiuniversity @MiamiAlum ~My own tweets,2385,David Dolton,19-Apr-2009 (01:36:02.000000),19508,9634
1050,dwade575,0,None,Radio Personality  Voiceover Artist  Health Food Nut  music  space  softball  basketball and the #LBDP ! 🌊,1775,DJDW,22-Oct-2013 (16:03:31.000000),298176,172531
